,Longitude,Latitude,Scaled N
0,72.89999999999982,17.91999999999998,1.4394949674606323
1,72.89999999999982,17.93999999999998,1.4396778345108032
2,72.89999999999982,17.95999999999998,1.4398562908172607
3,72.89999999999982,17.97999999999998,1.4400367736816406
4,72.89999999999982,17.99999999999998,1.4402176141738892
5,72.89999999999982,18.01999999999998,1.440398097038269
6,72.89999999999982,18.039999999999978,1.4405779838562012
7,72.89999999999982,18.059999999999977,1.4407594203948975
8,72.89999999999982,18.079999999999977,1.4409399032592773
9,72.89999999999982,18.099999999999977,1.4411197900772095
10,72.89999999999982,18.119999999999976,1.441300868988037
11,72.89999999999982,18.139999999999976,1.441481113433838
12,72.89999999999982,18.159999999999975,1.44166100025177
13,72.89999999999982,18.179999999999975,1.4418420791625977
14,72.89999999999982,18.199999999999974,1.4420219659805298
15,72.89999999999982,18.219999999999974,1.4422039985656738
16,72.89999999999982,18.239999999999974,1.4423848390579224
17,72.89999999999982,18.259999999999973,1.4425641298294067
18,72.89999999999982,18.279999999999973,1.4427443742752075
19,72.89999999999982,18.299999999999972,1.4429256916046143
20,72.89999999999982,18.319999999999972,1.4431049823760986
21,72.89999999999982,18.33999999999997,1.4432861804962158
22,72.89999999999982,18.35999999999997,1.4434657096862793
23,72.89999999999982,18.37999999999997,1.443646788597107
24,72.89999999999982,18.39999999999997,1.4438279867172241
25,72.89999999999982,18.41999999999997,1.4440075159072876
26,72.89999999999982,18.43999999999997,1.444188117980957
27,72.89999999999982,18.45999999999997,1.4443694353103638
28,72.89999999999982,18.47999999999997,1.4445505142211914
29,72.89999999999982,18.499999999999968,1.4447304010391235
30,72.89999999999982,18.519999999999968,1.4449106454849243
31,72.89999999999982,18.539999999999967,1.4450926780700684
32,72.89999999999982,18.559999999999967,1.4452725648880005
33,72.89999999999982,18.579999999999966,1.4454524517059326
34,72.89999999999982,18.599999999999966,1.4456323385238647
35,72.89999999999982,18.619999999999965,1.4458134174346924
36,72.89999999999982,18.639999999999965,1.4459930658340454
37,72.89999999999982,18.659999999999965,1.4461735486984253
38,72.89999999999982,18.679999999999964,1.4463549852371216
39,72.89999999999982,18.699999999999964,1.4465354681015015
40,72.89999999999982,18.719999999999963,1.4467147588729858
41,72.89999999999982,18.739999999999963,1.4468964338302612
42,72.89999999999982,18.759999999999962,1.4470770359039307
43,72.89999999999982,18.779999999999962,1.4472575187683105
44,72.89999999999982,18.79999999999996,1.4474371671676636
45,72.89999999999982,18.81999999999996,1.4476184844970703
46,72.89999999999982,18.83999999999996,1.447798728942871
47,72.89999999999982,18.85999999999996,1.447979211807251
48,72.89999999999982,18.87999999999996,1.448159098625183
49,72.89999999999982,18.89999999999996,1.448341727256775
50,72.89999999999982,18.91999999999996,1.4485204219818115
51,72.89999999999982,18.93999999999996,1.4487015008926392
52,72.89999999999982,18.959999999999958,1.448880910873413
53,72.89999999999982,18.979999999999958,1.4490598440170288
54,72.89999999999982,18.999999999999957,1.4492430686950684
55,72.89999999999982,19.019999999999957,1.4494227170944214
56,72.89999999999982,19.039999999999957,1.449603796005249
57,72.89999999999982,19.059999999999956,1.449784517288208
58,72.89999999999982,19.079999999999956,1.4499647617340088
59,72.89999999999982,19.099999999999955,1.4501450061798096
60,72.89999999999982,19.119999999999955,1.4503246545791626
61,72.89999999999982,19.139999999999954,1.450506329536438
62,72.89999999999982,19.159999999999954,1.4506874084472656
63,72.89999999999982,19.179999999999954,1.4508681297302246
64,72.89999999999982,19.199999999999953,1.4510475397109985
65,72.89999999999982,19.219999999999953,1.4512282609939575
66,72.89999999999982,19.239999999999952,1.4514093399047852
67,72.89999999999982,19.259999999999952,1.451589584350586
68,72.89999999999982,19.27999999999995,1.4517706632614136
69,72.89999999999982,19.29999999999995,1.451949954032898
70,72.89999999999982,19.31999999999995,1.4521305561065674
71,72.89999999999982,19.33999999999995,1.4523118734359741
72,72.89999999999982,19.35999999999995,1.4524917602539062
73,72.89999999999982,19.37999999999995,1.4526729583740234
74,72.89999999999982,19.39999999999995,1.4528528451919556
75,72.89999999999982,19.41999999999995,1.4530339241027832
76,72.89999999999982,19.439999999999948,1.4532132148742676
77,72.89999999999982,19.459999999999948,1.4533940553665161
78,72.89999999999982,19.479999999999947,1.453574538230896
79,72.89999999999982,19.499999999999947,1.4537553787231445
80,72.89999999999982,19.519999999999946,1.4539358615875244
81,72.89999999999982,19.539999999999946,1.454116940498352
82,72.89999999999982,19.559999999999945,1.4542968273162842
83,72.89999999999982,19.579999999999945,1.4544776678085327
84,72.89999999999982,19.599999999999945,1.4546575546264648
85,72.89999999999982,19.619999999999944,1.454837441444397
86,72.89999999999982,19.639999999999944,1.4550191164016724
87,72.89999999999982,19.659999999999943,1.455199122428894
88,72.89999999999982,19.679999999999943,1.4553813934326172
89,72.89999999999982,19.699999999999942,1.4555615186691284
90,72.89999999999982,19.719999999999942,1.45574152469635
91,72.89999999999982,19.73999999999994,1.4559208154678345
92,72.89999999999982,19.75999999999994,1.456101894378662
93,72.89999999999982,19.77999999999994,1.4562827348709106
94,72.89999999999982,19.79999999999994,1.456464409828186
95,72.89999999999982,19.81999999999994,1.4566431045532227
96,72.89999999999982,19.83999999999994,1.4568241834640503
97,72.89999999999982,19.85999999999994,1.4570046663284302
98,72.89999999999982,19.87999999999994,1.457184910774231
99,72.89999999999982,19.899999999999938,1.4573653936386108
100,72.89999999999982,19.919999999999938,1.4575450420379639
101,72.89999999999982,19.939999999999937,1.4577264785766602
102,72.89999999999982,19.959999999999937,1.457907795906067
103,72.89999999999982,19.979999999999936,1.4580880403518677
